#,probability that taxon was correctly identified,,,,
year,pci_lower,pci_upper,Notes,References,pi_source
1894,0.95,0.99,several collected and many observed in the lowlands of Rio de Janeiro state by Goeldi with flocks of 50-100,Areta et al 2009,Butchart el al 2018
1901,0.95,0.99,specimen collected Sao Francisco MG at 1580m in AMNH,Collar et al 1992,Butchart el al 2018
1902,0.95,0.99,"specimens: 2 males  collected Victoria SP state, Brazil at 570m in AMNH",Collar et al 1992,Butchart el al 2018
1926,0.95,0.99,specimen collected Teresopolis RJ in MNRJ,Collar et al 1992,Butchart el al 2018
1929,0.95,0.99,specimen collected Caparao MG at 1350m in AMNH,Collar et al 1992,Butchart el al 2018
1937,0.95,0.99,specimens collected Vicosa MG in MZUFV; at Sa da Cantareira in MZUSP,Collar et al 1992,Butchart el al 2018
1943,0.95,0.99,"specimens collected Faz. Comari & Boa Fe, RJ state in MZUSP",Collar et al 1992,Butchart el al 2018
1946,0.95,0.99,specimen collected just N of SP city at Gaviao in FMNH,Collar et al 1992,Butchart el al 2018
1950,0.95,0.99,specimen MZUSP,,This study
1951,0.95,0.99,specimen MZUSP,,This study
1953,0.95,0.99,specimen MZUSP,,This study
1956,0.95,0.99,"specimen  collected 14th May at Santa Teresa, ES, Brazil now in MNRJ",Collar et al 1992,Butchart el al 2018
1957,0.95,0.99,collected Iguazu AR by Partridge,Areta et al 2009,Butchart el al 2018
1959,0.95,0.99,specimen  collected on BR116 in SP near divide with Parana State Brazil in MZUSP,Collar et al 1992,Butchart el al 2018
1974,0.5,0.65,pair observed at Iguazu AR by Olrog,Areta et al 2009,Butchart el al 2018
1975,0.5,0.65,"observations after three decades of none in the Teresopolis region of RiodJ in the mid-1970s, according to Sick & Tereira 1980",Areta et al 2009,Butchart el al 2018
1977,0.95,0.99,"Individual ringed by Tarak & Christie at Iguazu AR Two of the (very few) records of more than two birds together were in February of 1977, according to Naka",Areta et al 2009; Naka et al 2000,Butchart el al 2018
1978,0.5,0.65,secondhand report of an observation in Parana in Sick & Tereira 1979,Collar et al 1992,Butchart el al 2018
1980,0.5,0.65,female observed by T Parker & R Ridgley at 1250m elevation in Itatiaia NP in Nov But none found there during masting of various bamboos during the 1980s ,T Parker in litt June 1992,Butchart el al 2018
1981,0.5,0.65,"observed at 500-800m elevation in May at Guaricana reserve in Parana, BR by Straube (1990)",Areta et al 2009; ,Butchart el al 2018
1982,0.5,0.65,reported to be observed very regularly at Iguazu NP between 1981-5,RM. Rumboll in litt. 1986,Butchart el al 2018
1983,0.5,0.65,reported to be observed very regularly at Iguazu NP between 1981-5,RM. Rumboll in litt. 1986,Butchart el al 2018
1984,0.5,0.65,"observation at Inga, RJ verbally by Nacinovic 1987",Collar et al 1992,Butchart el al 2018
1985,0.9,0.99,"specimen collected Jan 15th Estrada do Pau do Fome, Taquara, Jacarepaguá, RJ held at MNRJ ",A. Lees in litt 2016,Butchart el al 2018
1986,0.5,0.65,"observation reported at Nova Lombardia, ES, Brazil in winter by Carvalho in litt",Areta et al 2009; ? F. Olmos in litt to NJCollar June 1992,Butchart el al 2018
1987,0.95,0.99,"collected at Boraceia Biol Stn, Sao Paulo in Feb (Stotz in litt 1991) specimen at FMNH",Areta et al 2009,Butchart el al 2018
1989,0.5,0.65,observed with other bamboo seed-eating specialists in burnt area at 2300m in RJ: verbal report by RB Pineschi 1989,Collar et al 1992,Butchart el al 2018
1990,0.5,0.65,two observed at Iguazu AR by Poredano,Areta et al 2009,Butchart el al 2018
1994,0.5,0.65,"female  observed  6th Dec in Paraguay at RNP Itabo, Canidayu & another possibly heard in flowering Chsqe two days later 5 km away But no additional records from 800 hours spent at this site",Lowen et al 1997,Butchart el al 2018
1995,0.5,0.65,"Same location as 1991, 1997",,This study
1997,0.5,0.65,"Pair on 30 January at Faz Angleim Ubatuba, Sao Paulo in seeding bamboo by four observers, independently;  & possible-11 Feb one possibly seen and three possibly heard at Urubici, Santa Caterina by Beadle, Kirwan, McCann & Williams  - using Higher value 0.85, following Butchart and Thompson",Kirwan in litt 2016,Butchart el al 2018
2004,0.5,0.65,"possible heard  by G Kirwan at Fazenda Angelim, Ubatuba, Sao Paulo on 18 Oct",Mazar Barnett et al 2005; Kirwan in litt 2016,Butchart el al 2018
2007,0.5,0.65,"two females  observed in Depto Iguazu, Misiones Argentina, 10 km apart in November by Segovia & Segovia during extensive targeted searches in this year during masting episode of Guadua chacoensis. Also reported from  RPPN Parque do Zizo, Sao Paulo during bamboo masting event",Areta et al 2009; /WikiAves.com.br (accessed 29 Feb 2016),Butchart el al 2018
2008,0.5,0.65,"Argentina, Brazil",,This study
2017,0.5,0.65,Julian Quillen Vidoz,,This study
